Año Censal,Entidad,Municipio,Actividad económica,UE Unidades económicas
2023,28 Tamaulipas,011 Gómez Farías,Sector 53 Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,3
2023,28 Tamaulipas,011 Gómez Farías,"Sector 56 Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",2
2023,28 Tamaulipas,011 Gómez Farías,Sector 62 Servicios de salud y de asistencia social,3
2023,28 Tamaulipas,011 Gómez Farías,"Sector 71 Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",1
2023,28 Tamaulipas,011 Gómez Farías,Sector 72 Servicios de alojamiento temporal y de preparación de alimentos y bebidas,45
2023,28 Tamaulipas,011 Gómez Farías,Sector 81 Otros servicios excepto actividades gubernamentales,19
2023,28 Tamaulipas,012 González,Total municipal,2067
2023,28 Tamaulipas,012 González,"Sector 11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",46
2023,28 Tamaulipas,012 González,"Sector 22 Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",1
2023,28 Tamaulipas,012 González,Sector 23 Construcción,2
2023,28 Tamaulipas,012 González,Sector 31-33 Industrias manufactureras,190
2023,28 Tamaulipas,012 González,Sector 43 Comercio al por mayor,68
2023,28 Tamaulipas,012 González,Sector 46 Comercio al por menor,965
2023,28 Tamaulipas,012 González,"Sector 48-49 Transportes, correos y almacenamiento",4
2023,28 Tamaulipas,012 González,Sector 51 Información en medios masivos,1
2023,28 Tamaulipas,012 González,Sector 52 Servicios financieros y de seguros,2
2023,28 Tamaulipas,012 González,Sector 53 Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,28
2023,28 Tamaulipas,012 González,"Sector 54 Servicios profesionales, científicos y técnicos",27
2023,28 Tamaulipas,012 González,"Sector 56 Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",8
2023,28 Tamaulipas,012 González,Sector 61 Servicios educativos,4
2023,28 Tamaulipas,012 González,Sector 62 Servicios de salud y de asistencia social,49
2023,28 Tamaulipas,012 González,"Sector 71 Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",16
2023,28 Tamaulipas,012 González,Sector 72 Servicios de alojamiento temporal y de preparación de alimentos y bebidas,292
2023,28 Tamaulipas,012 González,Sector 81 Otros servicios excepto actividades gubernamentales,364
2023,28 Tamaulipas,013 Güémez,Total municipal,103
2023,28 Tamaulipas,013 Güémez,"Sector 22 Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",4
2023,28 Tamaulipas,013 Güémez,Sector 31-33 Industrias manufactureras,7
2023,28 Tamaulipas,013 Güémez,Sector 43 Comercio al por mayor,6
2023,28 Tamaulipas,013 Güémez,Sector 46 Comercio al por menor,46
2023,28 Tamaulipas,013 Güémez,"Sector 48-49 Transportes, correos y almacenamiento",2
2023,28 Tamaulipas,013 Güémez,Sector 62 Servicios de salud y de asistencia social,1
2023,28 Tamaulipas,013 Güémez,Sector 72 Servicios de alojamiento temporal y de preparación de alimentos y bebidas,27
2023,28 Tamaulipas,013 Güémez,Sector 81 Otros servicios excepto actividades gubernamentales,10
2023,28 Tamaulipas,014 Guerrero,Total municipal,176
2023,28 Tamaulipas,014 Guerrero,"Sector 11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",35
2023,28 Tamaulipas,014 Guerrero,"Sector 22 Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",1
2023,28 Tamaulipas,014 Guerrero,Sector 23 Construcción,1
2023,28 Tamaulipas,014 Guerrero,Sector 31-33 Industrias manufactureras,8
2023,28 Tamaulipas,014 Guerrero,Sector 43 Comercio al por mayor,5
2023,28 Tamaulipas,014 Guerrero,Sector 46 Comercio al por menor,60
2023,28 Tamaulipas,014 Guerrero,"Sector 54 Servicios profesionales, científicos y técnicos",1
2023,28 Tamaulipas,014 Guerrero,Sector 62 Servicios de salud y de asistencia social,4
2023,28 Tamaulipas,014 Guerrero,"Sector 71 Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",1
2023,28 Tamaulipas,014 Guerrero,Sector 72 Servicios de alojamiento temporal y de preparación de alimentos y bebidas,35
2023,28 Tamaulipas,014 Guerrero,Sector 81 Otros servicios excepto actividades gubernamentales,25
2023,28 Tamaulipas,015 Gustavo Díaz Ordaz,Total municipal,857
2023,28 Tamaulipas,015 Gustavo Díaz Ordaz,Sector 21 Minería,1
2023,28 Tamaulipas,015 Gustavo Díaz Ordaz,"Sector 22 Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",1
2023,28 Tamaulipas,015 Gustavo Díaz Ordaz,Sector 31-33 Industrias manufactureras,52
2023,28 Tamaulipas,015 Gustavo Díaz Ordaz,Sector 43 Comercio al por mayor,19
2023,28 Tamaulipas,015 Gustavo Díaz Ordaz,Sector 46 Comercio al por menor,356
2023,28 Tamaulipas,015 Gustavo Díaz Ordaz,"Sector 48-49 Transportes, correos y almacenamiento",4
2023,28 Tamaulipas,015 Gustavo Díaz Ordaz,Sector 51 Información en medios masivos,2
2023,28 Tamaulipas,015 Gustavo Díaz Ordaz,Sector 52 Servicios financieros y de seguros,10
2023,28 Tamaulipas,015 Gustavo Díaz Ordaz,Sector 53 Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,26
2023,28 Tamaulipas,015 Gustavo Díaz Ordaz,"Sector 54 Servicios profesionales, científicos y técnicos",18
2023,28 Tamaulipas,015 Gustavo Díaz Ordaz,"Sector 56 Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",5
2023,28 Tamaulipas,015 Gustavo Díaz Ordaz,Sector 61 Servicios educativos,3
2023,28 Tamaulipas,015 Gustavo Díaz Ordaz,Sector 62 Servicios de salud y de asistencia social,17
2023,28 Tamaulipas,015 Gustavo Díaz Ordaz,"Sector 71 Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",12
2023,28 Tamaulipas,015 Gustavo Díaz Ordaz,Sector 72 Servicios de alojamiento temporal y de preparación de alimentos y bebidas,128
2023,28 Tamaulipas,015 Gustavo Díaz Ordaz,Sector 81 Otros servicios excepto actividades gubernamentales,203
2023,28 Tamaulipas,016 Hidalgo,Total municipal,574
2023,28 Tamaulipas,016 Hidalgo,"Sector 11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",5
2023,28 Tamaulipas,016 Hidalgo,"Sector 22 Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",1
2023,28 Tamaulipas,016 Hidalgo,Sector 31-33 Industrias manufactureras,60
2023,28 Tamaulipas,016 Hidalgo,Sector 43 Comercio al por mayor,13
2023,28 Tamaulipas,016 Hidalgo,Sector 46 Comercio al por menor,258
2023,28 Tamaulipas,016 Hidalgo,"Sector 48-49 Transportes, correos y almacenamiento",1
2023,28 Tamaulipas,016 Hidalgo,Sector 51 Información en medios masivos,1
2023,28 Tamaulipas,016 Hidalgo,Sector 52 Servicios financieros y de seguros,1
2023,28 Tamaulipas,016 Hidalgo,Sector 53 Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,3
2023,28 Tamaulipas,016 Hidalgo,"Sector 54 Servicios profesionales, científicos y técnicos",4
2023,28 Tamaulipas,016 Hidalgo,"Sector 56 Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",4
2023,28 Tamaulipas,016 Hidalgo,Sector 62 Servicios de salud y de asistencia social,15
2023,28 Tamaulipas,016 Hidalgo,"Sector 71 Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",2
2023,28 Tamaulipas,016 Hidalgo,Sector 72 Servicios de alojamiento temporal y de preparación de alimentos y bebidas,100
2023,28 Tamaulipas,016 Hidalgo,Sector 81 Otros servicios excepto actividades gubernamentales,106
2023,28 Tamaulipas,017 Jaumave,Total municipal,464
2023,28 Tamaulipas,017 Jaumave,"Sector 22 Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",1
2023,28 Tamaulipas,017 Jaumave,Sector 31-33 Industrias manufactureras,51
2023,28 Tamaulipas,017 Jaumave,Sector 43 Comercio al por mayor,16
2023,28 Tamaulipas,017 Jaumave,Sector 46 Comercio al por menor,222
2023,28 Tamaulipas,017 Jaumave,"Sector 48-49 Transportes, correos y almacenamiento",1
2023,28 Tamaulipas,017 Jaumave,Sector 53 Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,5
2023,28 Tamaulipas,017 Jaumave,"Sector 54 Servicios profesionales, científicos y técnicos",3
2023,28 Tamaulipas,017 Jaumave,"Sector 56 Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",1
2023,28 Tamaulipas,017 Jaumave,Sector 62 Servicios de salud y de asistencia social,5
2023,28 Tamaulipas,017 Jaumave,"Sector 71 Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",4
2023,28 Tamaulipas,017 Jaumave,Sector 72 Servicios de alojamiento temporal y de preparación de alimentos y bebidas,95
2023,28 Tamaulipas,017 Jaumave,Sector 81 Otros servicios excepto actividades gubernamentales,60
2023,28 Tamaulipas,018 Jiménez,Total municipal,307
2023,28 Tamaulipas,018 Jiménez,"Sector 11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",3
2023,28 Tamaulipas,018 Jiménez,"Sector 22 Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",1
2023,28 Tamaulipas,018 Jiménez,Sector 23 Construcción,1
2023,28 Tamaulipas,018 Jiménez,Sector 31-33 Industrias manufactureras,35
2023,28 Tamaulipas,018 Jiménez,Sector 43 Comercio al por mayor,7
2023,28 Tamaulipas,018 Jiménez,Sector 46 Comercio al por menor,122
2023,28 Tamaulipas,018 Jiménez,Sector 51 Información en medios masivos,1
2023,28 Tamaulipas,018 Jiménez,Sector 52 Servicios financieros y de seguros,1
2023,28 Tamaulipas,018 Jiménez,Sector 53 Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,3
